height,entropybit,IsContract,tx,netstakeweight,modifier,flags,IsSuperBlock,querytime,fees_collected,mint,MoneySupply,claim->mining_id,difficulty,size,location,time,username,,locktime,netstakeweight,txid,contracts,vout->0->value,vout->0->scriptPubKey->addresses,vout->0->scriptPubKey->type,time
25,0,False,['077363ce762be5c0499c4a831027bff74eba41766a33e0fb459f8de0a54334a6'],180700778.1848732,0000000000000793,proof-of-work ,False,2,0,30,340570600.0,ca895b47aacffbdbf906201821af2f9f,0.001826586469853728,392,"Bruges, Belgium",1413153314,unknown user,,0,180700778.1848732,077363ce762be5c0499c4a831027bff74eba41766a33e0fb459f8de0a54334a6,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153314

26,1,False,['6c0a3ac872f6a371f4e83ab2de413a4890e863903575b1eb03400b3c2570ccb4'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570630.0,ca895b47aacffbdbf906201821af2f9f,0.001901154031102166,392,"Bruges, Belgium",1413153332,unknown user,,0,180700778.1848732,6c0a3ac872f6a371f4e83ab2de413a4890e863903575b1eb03400b3c2570ccb4,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153332

27,1,False,['5bc099b878725119cadc777d76a435b76fd9d6a33f2e46044e6e381ff0396f11'],180700778.1848732,0000000000000793,proof-of-work ,False,2,0,30,340570660.0,ca895b47aacffbdbf906201821af2f9f,0.002071786001877585,392,"Bruges, Belgium",1413153369,unknown user,,0,180700778.1848732,5bc099b878725119cadc777d76a435b76fd9d6a33f2e46044e6e381ff0396f11,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153369

28,1,False,['1951233b5b225fadb78a678391c961c56d38fb4126f7033e236cf675dd633866'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570690.0,ca895b47aacffbdbf906201821af2f9f,0.002169642289600814,392,"Bruges, Belgium",1413153374,unknown user,,0,180700778.1848732,1951233b5b225fadb78a678391c961c56d38fb4126f7033e236cf675dd633866,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153374

29,0,False,['55b90f705280817bb40a2114b329d70ac4a1512ca69b8f23fce394c919a0d911'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570720.0,ca895b47aacffbdbf906201821af2f9f,0.00243192033201919,392,"Bruges, Belgium",1413153389,unknown user,,0,180700778.1848732,55b90f705280817bb40a2114b329d70ac4a1512ca69b8f23fce394c919a0d911,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153389

30,0,False,['fc9e338279fed562fff3a6387b695ce382ad8b39aa142715d799788ec96e2578'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570750.0,ca895b47aacffbdbf906201821af2f9f,0.002667292799762441,392,"Bruges, Belgium",1413153417,unknown user,,0,180700778.1848732,fc9e338279fed562fff3a6387b695ce382ad8b39aa142715d799788ec96e2578,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153412

31,1,False,['0b08c22217a476b843f480450b5e647eb5a507ea129553072a12b8ca0e60de2f'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570780.0,ca895b47aacffbdbf906201821af2f9f,0.002845887227218658,392,"Bruges, Belgium",1413153423,unknown user,,0,180700778.1848732,0b08c22217a476b843f480450b5e647eb5a507ea129553072a12b8ca0e60de2f,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153423

32,1,False,['6ff747accf5ce3094b94b63fcf5eb7edd2fba558aabeba9716b543de0c90058b'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570810.0,ca895b47aacffbdbf906201821af2f9f,0.003182922536305764,396,"Bruges, Belgium",1413153458,unknown user,,0,180700778.1848732,6ff747accf5ce3094b94b63fcf5eb7edd2fba558aabeba9716b543de0c90058b,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153458

